web-scraper-order,web-scraper-start-url,linktopage-href,title,age,readytoleave,dec,num_pics,price,location
1587127470-601,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/2-female-bengal-kittens-and-2-ghost-tabbies/1367708053,2 female bengal kittens and 2 ghost tabbies,7 weeks,in 1 week,these kittens will be ready to take in 8 weeks they are bengal and ghost tabbies. they will be litter trained and would have been flea’d and wormed.,1 of 11,£160.00 ,"Tilehurst, Berkshire"
1587127622-649,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/ginger-kittens-for-sale/1370874660,GINGER KITTENS FOR SALE,8 weeks,Now,"Beautiful ginger kittens need to be rehomed

 All males

8 weeks old

£100 each",1 of 6,£100.00 ,"East Ham, London"
1587127463-598,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/adorable-kittens-for-sale-sold-/1370408611,Adorable kittens for sale SOLD!!!,10 weeks,Now,"6 kittens for sale, born on 11th of February. 5 girls and a boy tabby and white on the last picture!

Healthy, playful and toilet trained.



***PLEASE READ****



Dear All Interested,



I have had over 40 replies within an hour of putting this advert up.



I will try my best, but it is inlikely that I will be able to respond to everyone.

AND

Due to this interest, I will prioritise those who are looking to take kittens in pairs (which is best for them)



Additionally I hope you understand that I will not make a discount and would require a deposit for £50 or £100 for a pair.



UPDATES:

all tabby girl is reserved by Peter & Tara

tabby and white girl and black and white girl are reserved by Kevin

tabby and white boy is reserved by Kyra

Black and white girl is reserved by Ambrus

A black girl is reserved by Rachel",1 of 3,£150.00 ,"Northfleet, Kent"
1587127550-623,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/full-tabby-kittens-/1371084072,Full tabby kittens,8 weeks,Now,"We have 2 male full tabby kittens who are 8 weeks old, ready for a lovely home. They're healthy, active and very playful, having an affectionate, easy going and gentle temperament.

The kittens are indoor kept, have been litter trained, dewormed, deflead and currently eating kitten food. They are coming from a very clean and warm home.





Please do not hesitate to contact me for more information. Tel. 07448436099",1 of 17,£300.00 ,"Borehamwood, Hertfordshire"
1587127651-655,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/two-adorable-full-tabby-kittens-looking-for-loving-home-starter-kit-food-and-litter-/1370419715,TWO ADORABLE FULL TABBY KITTENS LOOKING FOR LOVING HOME + STARTER KIT (FOOD AND LITTER),8 weeks,Now,"2 cute female full tabby kittens ready for a lovely home - £400 for each kitten

Both the mother and father are tabby kittens

The kittens are very playful and great with people and kids

the kittens are being litter trained and currently eating kitten food



I CAN PROVIDE A KIT WITH SOME LITTER AND FOOD

Please feel free to contact me for more information and pictures",1 of 4,£400.00 ,"Harrow, London"
1587127645-653,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/precious-little-tabby-kittens-for-sale-sold-/1370922395,Precious little tabby kittens for sale(SOLD),7 weeks,in 1 week,"Beautiful fluffy, tabby kittens for sale. Which are 7 weeks old. They’re very playful and very healthy. They Have been litter trained , dewormed and deflead. They Ready to go to their loving homes on 21st of April. 
There mother is half bengal and half tabby
3x tabby with beautiful bengal markings 
We are taking £50 deposits. If needed , we will provide you with a starter kit and home delivery if you want to depending on postcode. 
We accept reasonable offers... 
If you need extra pictures or videos then contact us on Gumtree.

Update: all are sold sorry thank you",1 of 8,£250.00 ,"Walthamstow, London"
1587127454-594,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/mainecoone-x-standard-short-hair-kittens-for-sale-/1369690739,Mainecoone x standard short hair kittens for sale,11 weeks,Now,Thank you to everyone that got in touch.qe have been inundated with over 100 response in less than an hour and won't be able to get back to everyone individually. The kittens have now found an amazing home where they will be going together tomorrow. If anything changes I will update the advert.,1 of 12,£100.00 ,"Dorking, Surrey"
1587127520-614,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/10-week-old-kitten-for-sale/1370977093,10 week old kitten for sale,10 weeks,Now,"Gorgeous 10 week old boy kitten with blue eyes, good around kids, litter trained. He is very playful and also has had all up to date jabs. Need gone asap. Call or text for anymore information.",1 of 4,£350.00 ,"St Albans, Hertfordshire"
1587127557-626,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kittens-british-short-hair-/1366109734,Kittens British Short Hair,3 months,Now,"Mum is our beloved cat she is pure breed blue british short hair. We only feed her with the best food. Royal canin dry and wet food. 
You can view the mum as she is with her little baby. She looks after him :) 
Dad is 5 generation pedigree silver british short hair. He is so gorgeous too.
He’s from a champion line. He has all his registration certificates. 
You can come our house to view the kitten and you can start bonding with him.
He is so friendly, little and lovely. By the time he leave, he will be fully litter and scratch trained. Vaccinated, All flea and worm check done. He will leave us with his little toys and royal canin kitten food. 
You can reserve the kitten by leaving a non refundable £200 deposit. 
You can call us if you need more information. We are happy to help. Thank you.
07711996778",1 of 6,"£1,200.00 ","Holloway, London"
1587127566-629,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/siamese-ragdoll-cross-kittens/1370074481,Siamese/Ragdoll Cross Kittens,6 weeks,in 2 weeks,"We have six beautiful kittens, four females and two males, three chocolate and white and three chocolate. They are currently three weeks old and were born on the 5th March, they will be ready to go in five weeks time.
Mum is a 3/4 Siamese, 1/4 Ragdoll, dad is just your standard moggy.
The kitten are developing their own characters and are being handled daily, they're all looking lovely and healthy.
They will all be a little fluffy as mum is also. 
Mum & kittens have really beautiful temperaments and are very sociable. 
Permanent loving homes required as they need consistency and of course lots of TLC! 
Only the best homes for these wonderful bundles of joy. 

Please get in touch for more photos as I can only upload 8 photos onto this Advert. 

1 chocolate Boy _£250
1 chocolate and white Boy _£250
2 chocolate and white Girls _£300
2 chocolate Girls_£300",1 of 8,£300.00 ,"Mile End, London"
1587127457-595,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/kittens-all-now-reserved-/1370059315,Kittens all now reserved,9 days,in 8 weeks,"Beautiful long haired calico cat 
3 females mix of black ginger and tabby
1black and white and tabby 
1male ginger
All reserved 
Kittens will be wormed deflead vet checked and microchipped and litter trained 
They will leave at 8 weeks of age 
£50 deposit reserves kitten
refunded if any illness to kitten 
Pic updates only until lockdown over then can visit your kitten 
Ready to leave 1st week of june",1 of 8,£150.00 ,"Dunstable, Bedfordshire"
1587127574-631,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/puff-ball-british-short-hair-kittens/1370239286,Puff ball British Short Hair kittens,5 weeks,in 6 weeks,"!!!Update!!!

Thank you for your kind interests but all these lovelies have found their new home!!!

1 gold boy/reserved for Caroline

1 silver spotted girl/reserved for William!

1 silver spotted boy/reserved for Georgia!!

1 black girl/reserved for Francesca

1 gold girl/reserved for Nadia

Stunning long awaited puff ball kittens now ready for reserve!!

Father to these is a very well bred our household pet British Blue Alex, who is champion sired.

Mother is my silver British girl Lola.

Ready to leave on the 18 th May

Fully vaccinated vet checked

Precautionary flea treated with strong hold

Wormed with panacur 10%

Will be Insured and microchipped .



FaceTime can be done for viewing at the moment



Please contact me for more details",1 of 9,£750.00 ,"Enfield, London"
1587127553-624,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/four-kittens-all-ready-now-/1371086089,Four kittens all ready now,8 weeks,Now,"Here I have four kittens ready now been brought up with children very friendly and all affectionate.
All litter trained and eating wet and dry food.
Up to date with flea and worming treatment.",1 of 4,£200.00 ,"Harlow, Essex"
1587127676-665,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/two-beautiful-kittens-for-sale-now-reserved-/1371032116,Two Beautiful Kittens For Sale! NOW RESERVED,6 weeks,in 2 weeks,"I have two beautiful kittens ready in 2 weeks. They are half American short hair and half Tortoise Shell. The black kitten has a tabby pattern throughout her coat.
Black and white- Male (Reserved)
Black patterned - Female. (Reserved)
The kittens can be viewed whilst respecting social distancing guidelines. A deposit can be left to keep the kitten. 
They are both litter trained and eating solids. They are friendly and have a calm temperament, and also comfortable with children. Will be fleed and wormed before sold. If you have any questions please contact me. Thank you. *Price is each*",1 of 9,£250.00 ,"Enfield, London"
1587127467-600,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/gorgeous-persian-x-ragdoll-kitten/1370536196,Gorgeous Persian x Ragdoll kitten,2 weeks,in 7 weeks,"We have a stunning litter of Ragdoll x Persian kittens both parents are in the pics. Mum is a Persian and Dad is a seal mitted Ragdoll both parents are our family pets . 
The kitten’s are raised in our family home with children, dogs an other cats. They will be fully wormed, flead and litter trained. They will also come with 4 weeks free insurance.
I usually do viewings and take a £50 holding deposit This will have to be done via FaceTime and pictures due to social distancing. I’m happy to send pic updates . These kittens will be ready to leave for their forever loving homes the 2nd week of may when they will be 8 weeks old. 
I have 2 ginger an white boys
2 white with dark circles boys
1 dark boy. To loving homes only .",1 of 5,£375.00 ,"Slough, Berkshire"
1587127500-607,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/4-gorgeous-kittens/1370814540,4 gorgeous kittens,6 weeks,in 2 weeks,"4 gorgeous kittens, all four are showing signs of being tabby, mum is a dark grey/black tabby and looked much like the two darker kittens as a baby. Pictures of mum can be seen.

3 kittens are already eating wet and dry food and the fourth is starting to eat wet food. (All kittens will not leave mum until they are at least 8 weeks old AND fully weaned onto both types of food)

I will sadly not be offering home visits due to the lock down and will be requesting a £50 non refundable deposit if you’re wanting a kitten before collecting and to reserve a kitten.



Genders are as followed

Black and white - girl (reserved)

Black and white (fluffy) - boy (reserved)

Dark grey (fluffy) - boy (reserved)

Light grey (fluffy) - girl (reserved)",1 of 9,£225.00 ,"Slough, Berkshire"
1587127682-667,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/5-kittens-/1371042826,5 kittens,4 weeks,in 5 weeks,"4 week old kittens for sale will be ready in a month or so, flea and worm treatment will be done in the next couple of weeks would like them to go to loving homes where they will be looked after. Please remember a cat is for life not just for covid 

__",1 of 2,£400.00 ,"Holloway, London"
1587127669-662,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/8-week-old-kittens-only-2-left-/1370829922,8 week old kittens (ONLY 2 LEFT),8 weeks,Now,"I have 8 week old kittens. 

They are very playful and loving, love to be cuddled and love loads of affection. 

They are dewormed and fleed and are fully litter trained. 

Looking for their forever home

If interested please call or text me on 07904009132",1 of 7,£290.00 ,"Islington, London"
1587127613-646,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/british-short-hair-kittens-/1370829114,British short hair kittens,4 weeks,in 4 weeks,"British short hair x kittens for sale 
Beautiful babies ready in 4 weeks .

Will be wormed , flead and given there first vaccinations 

*******UPDATE KITTENS ARE NOW REVERSED***** 

Taking deposits now . 

Will send weekly updates to new owners",1 of 8,£375.00 ,"Crystal Palace, London"
1587127680-666,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/british-shorthair-kittens-blue-lilac-colourpoint-females-males-cat/1371036863,British shorthair kittens blue lilac Colourpoint females males cat,9 weeks,Now,"Here we have 5 most adorable kittens on the planet they are absolutely amazing full of joy and happiness.

mummy is an active GCCF queen shorthair blue pedigree.

Available...
2 British shorthair blues (Male and Female).

2 British shorthair Colourpoint (Male and Female). 

1 British shorthair Lilac boy has been released.


Dad is a handsome chunky boy, British Shorthair blue pedigree with 5 generation pedigree certificate. I don't own dad.

Mummy is fully up-to-date vaccinated wormed and deflead  
tested Leukaemia (FIV/FELV) TESTED (NEGATIVE) they are all indoor cats. You will be able to meet mummy on collection day.

Kittens are used to kids and busy house noise. 
All kittens are ready for their new homes now. They are eating very well, dry and wet food (royal canin) they will come with some food and litter to start you off. 

Kittens are 8 weeks now.

They are all fit and healthy and are fully litter trained.

Kittens are sold as pet only.

Text or phone. Call is easier for me. 

Any questions please don't hesitate to contact me.

Please no time wasters.

Under the circumstances viewing will be via FaceTime and collection will be contactless.",1 of 8,£850.00 ,"Stratford, London"
1587127590-636,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/short-hair-kitten-all-reserved-/1370545168,Short Hair Kitten (All reserved),6 weeks,in 2 weeks,"1.Male blue kitten 
Kitten is fully litter trained, and can eat by it self
6 weeks old born on 22 February 
Ready to leave in 2 weeks 
£600
Reserved for ( Lenir Romao )

2 . 2x male blue kitten 
Kittens are fully litter trained, and can eat by them selves 
Ready to leave in 2 weeks 
Only One left 
One reserved for (Olly)
One reserved for ( Nowdla)",1 of 9,£500.00 ,"Romford, London"
1587127490-605,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kittens-for-sale-/1370723562,Kittens for sale,8 weeks,Now,"Kittens for sale ready next week will be wormed flead and checked by the vet, a boy and girl are left very playful and friendly eating and drinking alone x",1 of 7,£125.00 ,"Epsom, Surrey"
1587127697-674,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/gorgeous-fluffy-kittens-for-sale/1371082123,Gorgeous fluffy kittens for sale,6 weeks,in 2 weeks,"4 gorgeous fluffy kittens for sale.

Ready to go to their forever homes on the 30th of April.



All potty trained and healthy. Due to the corona virus they have not been checked by the vet since the day they were born (before the lockdown) when the vet helped with the delivery.

The kittens have been handled a lot so they are very friendly and used to people.

The little ginger one is a girl (very unusual for ginger cats)

The multicoloured one is also a girl and the two darker once are boys.

The last two picture are of the father and mother cats who both belongs to us. We are not breeders, this is the first litter of kittens we ever had.



We would like these kittens to go to good forever homes where the cats have a chance to go out door in a garden when older.



For more info, videos and pictures please call 07853183588",1 of 10,£375.00 ,"Bromley, London"
1587127540-621,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/4-kittens.-2-white-and-black-one-black-with-white-and-one-tabby/1371077868,"4 kittens. 2 white and black, one black with white and one tabby",3 days,in 8 weeks,"4 kittens born 15/04
3 boys and 1 girl 
1st mostly white with black - boy pics 6 & 7
2nd tabby - boy pics 8 & 9
3rd black with white - boy pics 4 & 5
4th white with black - girl pics 2 & 3
Looking for a £25 deposit to secure your kitten",1 of 9,£100.00 ,"Crawley, West Sussex"
1587127688-670,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/-gorgeous-black-on-white-kittens-ready-for-a-loving-home-/1371060131,___ Gorgeous black on white kittens ready for a loving home___,7 weeks,in 1 week,__I have 3 beautiful kittens looking for a loving caring home__ they have been deformed deflead and also littered trained. They also eat wet and dry food.. they enjoy a stroke and cuddle. So interactive excellent with children so playful... they are 7 weeks old will be ready in 1 week sad to see them go if interested please call and arrange a time and day to meet my bundle of Joy's __,1 of 8,£200.00 ,"Plaistow, London"
1587127627-651,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/kittens-british-sort-hair-/1370227410,Kittens british sort hair,3 weeks,in 5 weeks,2 boy 1 girl 1 weeks old British sort hair silver tabby only reserve second pic mum last pic dad ..2 boy reserved.. 1 girls left,1 of 9,£800.00 ,"Southgate, London"
1587127693-672,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/lovely-kitten/1371072800,Lovely kitten,10 weeks,Now,10 week old kitten. Unsure if it is a boy or girl but it is a lovely and very playful kitten. Loves to sleep in your lap.,1 of 3,£180.00 ,"Islington, London"
1587127497-606,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kittens/1370737523,Kittens,3 weeks,in 5 weeks,Cute Kittens for sale . Ready to go in 5 weeks.will be litter trained.2 females left,1 of 5,£160.00 ,"Reading, Berkshire"
1587127656-656,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/4-exceptionally-cute-kittens-looking-for-their-forever-home/1370947576,4 Exceptionally cute kittens looking for their forever home,7 weeks,in 1 week,"We have 5 lovely bright green-eyed mixed Norwegian forest cat + tabby cat kittens looking for their forever loving home. They are absolutely adorable. The mother is a beautiful and super affectionate, lead walking Norwegian forest cat and the father is a spritely orange tabby cat.



Each kitten will be fully litter trained and socialised and eating royal canine food when ready to go. They are all indoor cats and live in a warm and clean home. Complimentary goody bag provided on collection.



The Norwegian forest cat is a highly intelligent breed categorised by their lovely fur and love for hunting. The kittens are active and playful, with an affectionate easy going and gentle temperament.





The Mother has always been quite happy to walk on a lead or happily sits on a shoulder when going out for walks which have made her quite a sensation in the neighbourhood. Her kittens have a similar temperament to her (but I do not guarantee that they too will walk on a lead)



A non refundable deposit of £50 is required to secure a kitten of your choice.





The kittens are £500 each.



Please do not hesitate to phone for more information. Tel:0777399006",1 of 20,£500.00 ,"Walthamstow, London"
1587127527-617,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/mixed-litter-of-kittens-ready-to-go-now/1371038736,Mixed litter of kittens READY TO GO NOW,9 weeks,Now,"I have a mixed litter of kittens 2 girls and 3 boys born on 14th feb Valentine’s Day! 

Pic 1- Multi coloured fluffy GIRL **ON HOLD**

Pic 2- Darker faced short haired tabby BOY **RESERVED**

Pic3- Dark coloured with slight colouring Fluffy GIRL **RESERVED**

Pic4- Lighter faced short haired tabby BOY

Pic5- Long haired silver/grey/ginger tabby BOY **SOLD**



Ready to go now! 

They are flea and worm treated. They are eating meat & biscuits and are litter trained. 
Social distancing will be adhered to, will talk more about it in messages.

They are £280 each.

I am a busy mum so please no time wasters! Many thanks",1 of 5,£280.00 ,"Petworth, West Sussex"
1587127478-603,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/kittens-female-ginger-females-males-rare-2-reserved-/1370786237,Kittens Female ginger females & males RARE!( 2 reserved),8 days,in 9 weeks,"Hi so we would love forever homes for our new babies!
Our lovely cat gave birth to seven absolutely stunning pure ginger kittens 4 are girls!
 3 are boys. 
The girls are a little more please ask for price it’s extremely rare to have a female pure ginger they are hard to find. 
They are 6 days old very healthy some have already opened their eyes.
Mum is a lovely natured girl she’s almost 4 years old now. The father is our neighbours Tom cat he’s a pure breed ginger a handsome chap.
We would love owners to keep us updated with pictures when homed. 
They will be ready to leave in 9 weeks time. We will keep you updated until then with videos & regular pictures. They are from a loving family home mum can be seen and possibly dad, he spends a lot of time sunbathing in our garden! Your also welcome to video view them as they get bigger __
They will come with the first weeks food bed and toys ______
Deposit is £200 Thanks.",1 of 8,£850.00 ,"Croydon, London"
1587127459-596,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/kittens-for-sale/1370190292,Kittens for sale,8 weeks,Now,"2 female and 1 male left.

3 black and dark grey/brown kittens for sale. All have a beautiful loving temperament. They love to have a cuddle! 


THERE ARE 2 KITTENS AVAILABLE DUE TO UNFORTUNATE CIRCUMSTANCES WITH PREVIOUS HOME

All kittens are feeding on biscuits they also drink water.

All kittens are litter trained


ALL KITTENS HAVE BEEN RESERVED",1 of 8,£100.00 ,"Aylesbury, Buckinghamshire"
1587127671-663,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/black-fluffy-kitten-8-weeks-old-sold-new-litter-june/1370994735,Black fluffy kitten 8 weeks old-SOLD new litter june,8 weeks,Now,"Super cute black fluffy kitten

Weaned and litter trained

8 weeks old

Well handled and used to children and other cats",1 of 3,£200.00 ,"Tottenham, London"
1587127452-593,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/persian-kittens-/1369686039,Persian kittens,8 weeks,in 2 weeks,"I have a lovely litter of cute, cuddly, chunky Persian kittens

They are born and raised in our family home with lots of love and attention, the mum and dad are here and can be seen

They are not registered and are strictly indoor cats that need daily grooming and their eyes cleaned.

If you feel you can give a good home to one of my kittens please get in touch.

A non refundable deposit of £150 will secure your baby",1 of 5,£500.00 ,"Basildon, Essex"
1587127515-612,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kittens/1370931105,Kittens,8 weeks,Now,"Beautifull kittens looking for new lovely home. litter trained, eat both wet and dry food drink milk or water . The kittens are really playful and ready to look for a new home .",1 of 7,£120.00 ,"Gravesend, Kent"
1587127598-640,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/gorgeous-calico-tortie-kittens/1370570359,Gorgeous Calico/Tortie Kittens,5 weeks,in 3 weeks,"ALL GONE... IF FOR ANY REASON ANY ONE CHANGES THERE MINDS I WILL CONTACT PEOPLE THAT HAVE MESSAGED ME.

THANK YOU

I have 4 beautiful girls and 1 very handsome boy.

They are ready for there forever homes in 3-4weeks time.",1 of 6,£140.00 ,"Bromley, London"
1587127571-630,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/no-more-kittens.-finish.-finito/1370076601,No more kittens. FINISH. FINITO,11 weeks,Now,"Sorry for any confusing situation with answers all unexplained emails ,messages and visitors. 
Thank you so much for all interest",1 of 1,£500.00 ,"Leyton, London"
1587127684-668,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/new-born-kittens/1371055287,New born kittens,7 weeks,in 7 weeks,5 kittens 3 full black two females one long haired one short haired n one boy n 2 black n white twin females,1 of 9,£60.00 ,"Enfield, London"
1587127561-628,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/cat-lovers-needed-for-2-female-6-month-old-kittens-/1369848299,Cat lovers needed for 2 female 6 month old kittens,6 months,Now,"Female kittens, 6 months old, ready for their new homes.They love play, food and eat fresh cooked chicken/fish etc. They eat dry and wet catfood mostly. They are litter trained. Would love the company of other friendly cats or kittens and maybe a garden or outside space. They are female and are half grown at 6 months old, Thanks",1 of 3,£200.00 ,"Camden, London"
